strain	gisaid_epi_isl
Argentina/INEI096534/2020	EPI_ISL_2158693
Argentina/INEI100632/2021	EPI_ISL_2104813
Argentina/INEI102214/2021	EPI_ISL_2135148
Argentina/INEI102437/2021	EPI_ISL_2135258
Argentina/INEI102438/2021	EPI_ISL_2135260
Argentina/INEI103051/2021	EPI_ISL_2135330
Argentina/INEI103228/2021	EPI_ISL_2135343
Argentina/INEI103567/2021	EPI_ISL_2135729
Argentina/INEI104088/2021	EPI_ISL_2136047
Argentina/INEI104089/2021	EPI_ISL_2136048
Argentina/INEI104111/2021	EPI_ISL_2136056
Argentina/INEI104136/2021	EPI_ISL_2136104
Argentina/INEI104139/2021	EPI_ISL_2136106
Argentina/INEI104225/2021	EPI_ISL_2140038
Argentina/INEI104230/2021	EPI_ISL_2140043
Argentina/INEI104237/2021	EPI_ISL_2140050
Argentina/INEI104248/2021	EPI_ISL_2140061
Argentina/INEI104422/2021	EPI_ISL_2140120
Argentina/INEI104435/2021	EPI_ISL_2140131
Argentina/INEI104500/2021	EPI_ISL_2158702
Argentina/INEI104507/2021	EPI_ISL_2158708
Argentina/INEI104516/2021	EPI_ISL_2158717
Argentina/INEI104556/2021	EPI_ISL_2158739
Argentina/INEI104582/2021	EPI_ISL_2158744
Argentina/INEI104607/2021	EPI_ISL_2158759
Argentina/INEI104643/2021	EPI_ISL_2158768
Argentina/INEI104726/2021	EPI_ISL_2158815
Argentina/PAIS-A0457/2021	EPI_ISL_1395787
Argentina/PAIS-G0195/2021	EPI_ISL_2007538
Argentina/PAIS-G0199/2021	EPI_ISL_2007539
Argentina/PAIS-G0202/2021	EPI_ISL_2007540
Argentina/PAIS-G0224/2021	EPI_ISL_2007541
Argentina/PAIS-G0232/2021	EPI_ISL_2007542
Argentina/PAIS-G0235/2021	EPI_ISL_2271686
Argentina/PAIS-G0240/2021	EPI_ISL_2271691
Argentina/PAIS-G0244/2021	EPI_ISL_2271695
Argentina/PAIS-G0245/2021	EPI_ISL_2271696
Argentina/PAIS-G0247/2021	EPI_ISL_2271698
Argentina/PAIS-G0250/2021	EPI_ISL_2271701
Aruba/AW-RIVM-29788/2021	EPI_ISL_1962943
Aruba/AW-RIVM-40498/2021	EPI_ISL_2673223
Brazil/SP-HIAE-ID054/2021	EPI_ISL_2674368
Brazil/SP-IAL-721591-NBD20/2021	EPI_ISL_1445272
Brazil/SP-IB_100038/2021	EPI_ISL_1966094
Canada/BC-BCCDC-26334/2021	EPI_ISL_2523104
Chile/AI-100211/2021	EPI_ISL_2543618
Chile/AI-86411/2021	EPI_ISL_2391055
Chile/AI-90769/2021	EPI_ISL_2391465
Chile/AI-90771/2021	EPI_ISL_2391466
Chile/AI-90778/2021	EPI_ISL_2391469
Chile/AI-93769/2021	EPI_ISL_2508565
Chile/AI-93775/2021	EPI_ISL_2508568
Chile/AI-93777/2021	EPI_ISL_2508569
Chile/AI-93785/2021	EPI_ISL_2508573
Chile/AI-93787/2021	EPI_ISL_2508574
Chile/AI-96819/2021	EPI_ISL_2509295
Chile/AI-96825/2021	EPI_ISL_2509298
Chile/AN-67459/2021	EPI_ISL_2391379
Chile/AN-92195/2021	EPI_ISL_2391324
Chile/AN-95702/2021	EPI_ISL_2543567
Chile/AP-100362/2021	EPI_ISL_2543637
Chile/AP-88798/2021	EPI_ISL_2391184
Chile/AP-91189/2021	EPI_ISL_2391290
Chile/AP-91191/2021	EPI_ISL_2391292
Chile/AP-91193/2021	EPI_ISL_2391294
Chile/AP-93279/2021	EPI_ISL_2509143
Chile/AP-98109/2021	EPI_ISL_2543459
Chile/AP-98110/2021	EPI_ISL_2543460
Chile/AP-98116/2021	EPI_ISL_2543466
Chile/AR-101061/2021	EPI_ISL_2557293
Chile/AR-102809/2021	EPI_ISL_2663423
Chile/AR-105391/2021	EPI_ISL_2659176
Chile/AR-82485/2021	EPI_ISL_2391388
Chile/AT-103178/2021	EPI_ISL_2663437
Chile/AT-103182/2021	EPI_ISL_2663438
Chile/AT-81384/2021	EPI_ISL_2009636
Chile/AT-81386/2021	EPI_ISL_2009637
Chile/AT-89637/2021	EPI_ISL_2391223
Chile/AT-92687/2021	EPI_ISL_2391351
Chile/AT-92691/2021	EPI_ISL_2391354
Chile/BI-66277/2021	EPI_ISL_1470527
Chile/BI-93141/2021	EPI_ISL_2509113
Chile/BI-93142/2021	EPI_ISL_2509114
Chile/BI-93149/2021	EPI_ISL_2509115
Chile/CO-100492/2021	EPI_ISL_2543652
Chile/CO-35720/2021	EPI_ISL_1321477
Chile/CO-36319/2021	EPI_ISL_1321474
Chile/LI-100607/2021	EPI_ISL_2543654
Chile/LI-100609/2021	EPI_ISL_2543656
Chile/LI-100618/2021	EPI_ISL_2543663
Chile/LI-103852/2021	EPI_ISL_2663608
Chile/LI-103857/2021	EPI_ISL_2663613
Chile/LI-104041/2021	EPI_ISL_2663455
Chile/LI-92558/2021	EPI_ISL_2391338
Chile/LL-98845/2021	EPI_ISL_2543556
Chile/LR-101018/2021	EPI_ISL_2557271
Chile/LR-66883/2021	EPI_ISL_1470547
Chile/LR-90761/2021	EPI_ISL_2391458
Chile/LR-93797/2021	EPI_ISL_2508582
Chile/LR-97020/2021	EPI_ISL_2509313
Chile/ML-102826/2021	EPI_ISL_2663432
Chile/ML-49421/2021	EPI_ISL_1470419
Chile/ML-62241/2021	EPI_ISL_1470469
Chile/ML-66340/2021	EPI_ISL_1470530
Chile/ML-66343/2021	EPI_ISL_1470532
Chile/ML-66344/2021	EPI_ISL_1470533
Chile/ML-66349/2021	EPI_ISL_1470535
Chile/ML-66352/2021	EPI_ISL_1470536
Chile/ML-66353/2021	EPI_ISL_1470537
Chile/ML-66354/2021	EPI_ISL_1470538
Chile/ML-66355/2021	EPI_ISL_1470539
Chile/ML-84842/2021	EPI_ISL_2009566
Chile/ML-91517/2021	EPI_ISL_2391305
Chile/ML-91520/2021	EPI_ISL_2391307
Chile/ML-95603/2021	EPI_ISL_2509171
Chile/ML-95606/2021	EPI_ISL_2509174
Chile/ML-95607/2021	EPI_ISL_2509175
Chile/ML-95612/2021	EPI_ISL_2509180
Chile/ML-95614/2021	EPI_ISL_2509182
Chile/ML-95615/2021	EPI_ISL_2509183
Chile/ML-95616/2021	EPI_ISL_2509184
Chile/ML-98757/2021	EPI_ISL_2543533
Chile/ML-98767/2021	EPI_ISL_2543535
Chile/NB-63487/2021	EPI_ISL_1470470
Chile/RM-100563/2021	EPI_ISL_2663567
Chile/RM-19105/2021	EPI_ISL_1321476
Chile/RM-24779/2021	EPI_ISL_2391365
Chile/RM-30972/2021	EPI_ISL_1300520
Chile/RM-41885/2021	EPI_ISL_1321482
Chile/RM-48102/2021	EPI_ISL_1321488
Chile/RM-51508/2021	EPI_ISL_1470492
